,Hostname,IP-Adresse,Seriennr
919,de-fid-diess-sh-03b,10.51.148.246,CN57FPB22K
920,de-fid-diess-sh-03c,10.51.148.245,CN60FP72YP
921,de-fid-felda-sh-02b,10.51.183.86,CN60FP71DZ
922,de-fid-gauti-sh-02c,10.51.153.246,CN57FPB3NL
923,de-fid-gauti-sh-02d,10.51.153.245,CN57DRW0NM
924,de-fid-gilch-sh-05b,10.51.198.126,CN60FP721N
937,de-fid-iffel-sh-01b,10.51.168.126,CN60FP71FJ
938,de-fid-innin-sh-01d,10.51.160.230,CN60DRW030
939,de-fid-kaufe-sh-01b,10.51.177.110,CN60FP72W2
940,de-fid-krail-sh-01b,10.51.195.254,CN60FP71VK
942,de-fid-lands-sh-07b,10.51.149.246,CN57DRW08G
943,de-fid-lands-sh-07d,10.51.149.245,CN60FP7218
945,de-fid-penzb-sh-05b,10.51.176.94,CN60FP71VX
946,de-fid-poeck-sh-02b,10.51.159.182,CN57DRW0DW
947,de-fid-puerg-sh-02b,10.51.151.86,CN60FP71FK
948,de-fid-puerg-sh-02c,10.51.151.85,CN60FP72PD
950,de-fid-rott1-sh-02b,10.51.194.6,CN60FP71VN
951,de-fid-seefe-sh-01b,10.51.181.54,CN60FP71WR
952,de-fid-seesh-sh-01a,10.51.144.214,CN57FPB202
953,de-fid-seesh-sh-01b,10.51.144.213,CN57DRW05D
954,de-fid-seesh-sh-01c,10.51.144.212,CN56DRW0PM
955,de-fid-starn-sh-01c,10.51.155.46,CN57DRW0DH
956,de-fid-starn-sh-01d,10.51.155.45,CN68FPB0DB
957,de-fid-starn-sh-03e,10.51.140.206,CN57FPB1PR
958,de-fid-starn-sh-03f,10.51.140.205,CN57FPB2Y0
959,de-fid-starn-sh-03g,10.51.140.204,CN57FPB368
960,de-fid-starn-sh-03h,10.51.140.203,CN57FPB48W
961,de-fid-starn-sh-03i,10.51.140.202,CN69DRV0T2
962,de-fid-starn-sh-03j,10.51.140.201,CN57DRW0RK
963,de-fid-starn-sh-03k,10.51.140.200,CN60FP71W3
964,de-fid-starn-sh-04b,10.51.184.70,CN60FP71RV
965,de-fid-starn-sh-06b,10.51.155.86,CN57DRW07M
966,de-fid-starn-sh-06c,10.51.155.85,CN69DRR24V
