,Hostname,IP-Adresse,Seriennr
1991,de-fid-laube-sh-06a,10.51.192.38,CN35DRR4SM
1993,de-fid-obegg-sh-02a,10.51.163.254,CN35DRR3HP
1994,de-fid-oberg-sh-06a,10.51.199.182,CN35DRR1D5
1995,de-fid-oroth-sh-02a,10.51.196.158,CN35DRR10M
1996,de-fid-sheim-sh-02a,10.51.179.214,CN35DRR1V7
1997,de-fid-tbach-sh-02a,10.51.197.246,CN32DRR017
1998,de-fid-uroth-sh-02a,10.51.171.118,CN35DRR1KS
1999,de-fid-voehr-sh-07a,10.51.192.174,CN2BDRV04G
2000,de-fid-wheim-sh-03a,10.51.162.246,CN35DRR4CV
2001,de-fid-wheim-sh-04a,10.51.157.190,CN32DRR12D
2003,de-fid-wried-sh-02a,10.51.190.142,CN35DRR4QQ
2005,de-fid-badba-sh-01b,10.51.169.198,CN60FPB1NX
2006,de-fid-boebi-sh-03b,10.51.167.214,CN60FPB182
2007,de-fid-lechb-sh-02b,10.51.183.190,CN60FPB192
2008,de-fid-prem0-sh-02b,10.51.193.70,CN60FPB1F0
2009,de-fid-rotte-sh-01c,10.51.168.190,CN60FPB1J8
2010,de-fid-rotte-sh-18b,10.51.205.22,CN60FPB19Z
2011,de-fid-stein-sh-26c,10.51.145.110,CN60DRW00Z
2012,de-fid-stein-sh-26d,10.51.145.109,CN60DRW005
2013,de-fid-stein-sh-26e,10.51.145.108,CN60FPB1CN
2018,de-fid-uetti-sh-02b,10.51.152.214,CN6BDRV07Y
2019,de-fid-uetti-sh-02c,10.51.152.213,CN7AFPB6VR
2021,de-fid-holle-sh-01a,10.51.160.54,CN45FP628S
2022,de-fid-rehl1-sh-01c,10.51.144.142,CN86DRW02G
2023,de-fid-rehl1-sh-01d,10.51.144.141,CN86DRW045
2024,de-fid-rehl1-sh-01e,10.51.144.140,CN86DRW01B
2026,de-fid-bmuen-sh-01a,10.57.210.134,CN07FPC02R
2051,de-fid-euski-sh-04a,10.57.205.246,CN07FPC0DX
2058,de-fid-meche-sh-02a,10.57.236.14,CN07FPC09D
2198,de-fid-linda-sh-03j,10.51.137.30,CN60DRW027
2199,de-fid-linda-sh-03k,10.51.137.29,CN60DRW069
2200,de-fid-linda-sh-03l,10.51.137.28,CN60DRW0CN
2201,de-fid-linda-sh-03m,10.51.137.27,CN60DRW0DJ
2202,de-fid-linda-sh-03n,10.51.205.166,CN81FPB18C
2203,de-fid-linda-sh-03o,10.51.205.70,CN7AFPB6PV
2204,de-fid-linda-sh-03p,10.51.137.24,CN81FPB2PP
2205,de-fid-linda-sh-03q,10.51.137.23,CN7AFPB3W5
2206,de-fid-linda-sh-04b,10.51.172.126,CN60FPC0BX
2207,de-fid-altus-sh-01a,10.51.198.54,CN81DRR19X
2208,de-fid-altus-sh-02a,10.51.204.182,CN81DRR1N4
2209,de-fid-altus-sh-03a,10.51.142.254,CN27DRV17F
2210,de-fid-altus-sh-03b,10.51.142.253,CN27DRV04T
2211,de-fid-altus-sh-03c,10.51.142.252,CN27DRV0PM
2212,de-fid-altus-sh-03d,10.51.142.251,CN29DRR1S4
2213,de-fid-badgr-sh-01b,10.51.149.118,CN6ADRV00N
2214,de-fid-badgr-sh-01c,10.51.149.117,CN81DRR0WG
2215,de-fid-dietm-sh-01c,10.51.149.30,CN6ADRV05G
2216,de-fid-dietm-sh-01d,10.51.149.29,CN6ADRV016
2217,de-fid-dietm-sh-02a,10.51.169.222,CN81DRR075
2218,de-fid-dietm-sh-03a,10.51.160.254,CN81DRR0ZL
2219,de-fid-durac-sh-01b,10.51.194.94,CN6ADRV02C
2220,de-fid-halde-sh-01a,10.51.197.254,CN81DRR026
2221,de-fid-halde-sh-07a,10.51.161.214,CN3ADRV0CQ
2222,de-fid-krugz-sh-01a,10.51.158.30,CN81DRR0Z3
2223,de-fid-lache-sh-01a,10.51.166.70,CN81DRR1PF
2224,de-fid-laube-sh-01a,10.51.180.134,CN81DRR1CQ
2225,de-fid-oberg-sh-01a,10.51.164.166,CN81DRR1H6
2226,de-fid-oberg-sh-04b,10.51.166.134,CN6ADRV05T
2227,de-fid-oymit-sh-01a,10.51.205.150,CN81DRR1B9
2228,de-fid-sulz3-sh-01b,10.51.179.190,CN6ADRV060
2229,de-fid-untra-sh-01a,10.51.170.102,CN81DRR18S
2230,de-fid-wolfe-sh-01a,10.51.175.150,CN81DRR1DD
2231,de-fid-worin-sh-01a,10.51.198.86,CN8BHL102P
2242,de-fid-maist-sh-03a,10.51.172.214,CN26DRR1V0
2250,FNH0014N,10.51.181.10,CN13FP7496
2258,de-fid-goeri-sh-01b,10.51.175.62,CN87FPC08X
2259,de-fid-wald0-sh-02c,10.51.174.78,CN6BDRR19T
2330,de-fid-birke-sh-63a,10.178.214.214,CN8AHL30QB
2366,de-fid-hemsb-sh-05a,10.178.206.94,CN45DRW0ZN
2369,de-fid-hirsc-sh-12a,10.178.171.54,CN88FPB1C2
2371,de-fid-laden-sh-02c,10.178.190.133,CN06FP347D
2372,de-fid-leime-sh-01a,10.178.215.174,CN8AFP304W
2373,de-fid-moerl-sh-03a,10.178.180.6,CN8AHL30Q5
2385,de-fid-waldm-sh-05a,10.178.210.14,CN86DRW02W
2405,de-fid-weinh-sh-07a,10.178.209.190,CN8AHL30T5
2406,de-fid-weinh-sh-11a,10.178.188.254,CN80HL3446
2584,de-fid-00023-sh-01e,10.178.149.206,CN89FPB0WJ
2585,de-fid-00023-sh-01f,10.178.149.205,CN89FPB04D
2586,de-fid-00023-sh-01g,10.178.149.204,CN89FPB00L
2587,de-fid-00023-sh-01h,10.178.149.203,CN88FPB15C
2588,de-fid-angel-sh-03a,10.178.184.102,CN93FP31JZ
2589,de-fid-dielh-sh-13a,10.178.216.70,CN89FPB177
2590,de-fid-eppin-sh-04a,10.178.180.62,CN8AFPC013
2591,de-fid-eppin-sh-05a,10.178.144.174,CN7BDRW038
2592,de-fid-eppin-sh-05b,10.178.144.173,CN7BDRW05T
2593,de-fid-eppin-sh-05c,10.178.144.172,CN7BDRW07W
2594,de-fid-eppin-sh-05d,10.178.144.171,CN81FPB2QY
2595,de-fid-eppin-sh-05e,10.178.144.170,CN81FPB2G0
2596,de-fid-eppin-sh-12a,10.178.169.38,CN89FPB150
2597,de-fid-eppin-sh-15a,10.178.185.254,CN89FPB11N
2598,de-fid-eppin-sh-25a,10.178.216.206,CN89FPB0ZC
2599,de-fid-eppin-sh-29a,10.178.169.78,CN89FPB13M
2600,de-fid-eppin-sh-33a,10.178.199.174,CN89FPB156
2605,de-fid-gemmi-sh-18a,10.178.202.150,CN89FPB0YK
2608,de-fid-hueff-sh-22a,10.178.188.62,CN89FPB1C8
2616,de-fid-leimn-sh-08b,10.178.203.118,CN78DRW0YW
2617,de-fid-leimn-sh-28a,10.178.171.230,CN89FPB13T
2618,de-fid-leimn-sh-28b,10.178.171.229,CN89FPB0YY
2619,de-fid-leon1-sh-02a,10.178.216.158,CN93FPC144
2620,de-fid-leon1-sh-24a,10.178.168.254,CN89FPB098
2621,de-fid-malsc-sh-26a,10.178.182.214,CN89FPB036
2622,de-fid-nussl-sh-30a,10.178.192.14,CN89FPB1D1
2630,de-fid-oestr-sh-04a,10.178.170.70,CN24DRR1K4
2631,de-fid-oestr-sh-05a,10.178.180.246,CN93FPC0SR
2632,de-fid-oestr-sh-32a,10.178.178.174,CN89FPB0W1
2637,de-fid-rappe-sh-05f,10.178.147.238,CN93FP31Z6
2638,de-fid-rappe-sh-05g,10.178.147.237,CN91FP31B9
2639,de-fid-rappe-sh-05i,10.178.147.236,CN89FPB121
2640,de-fid-rappe-sh-05j,10.178.147.235,CN89FPB0VS
2641,de-fid-rappe-sh-06a,10.178.194.118,CN8AFPC089
2642,de-fid-rappe-sh-17a,10.178.195.102,CN89FPB1B9
2643,de-fid-rappe-sh-19a,10.178.206.190,CN89FPB15N
2644,de-fid-rappe-sh-31a,10.178.209.14,CN89FPB18Y
2645,de-fid-rauen-sh-05b,10.178.154.6,CN78DRW0LY
2646,de-fid-rauen-sh-05c,10.178.154.5,CN7AFPB2MH
2647,de-fid-rauen-sh-27a,10.178.175.166,CN89FPB14V
2648,de-fid-sandh-sh-03b,10.178.216.166,CN80FP35G0
2649,de-fid-siegl-sh-35a,10.178.207.246,CN89FPB135
2666,de-fid-sinsh-sh-02a,10.178.193.174,CN94FPC0QW
2667,de-fid-sinsh-sh-11a,10.178.192.70,CN94FPC12R
2668,de-fid-sinsh-sh-14a,10.178.172.6,CN89FPB07M
2669,de-fid-sinsh-sh-16a,10.178.188.30,CN89FPB02L
2670,de-fid-sinsh-sh-21a,10.178.187.222,CN89FPB0YW
2671,de-fid-sinsh-sh-23a,10.178.203.166,CN89FPB0C6
2672,de-fid-sinsh-sh-36a,10.178.203.30,CN89FPB0W9
2679,de-fid-walld-sh-02a,10.178.199.6,CN94FPC01Q
2680,de-fid-walld-sh-09c,10.178.166.182,CN78DRW0XL
2681,de-fid-walld-sh-09d,10.178.166.181,CN78DRW0Y3
2702,de-fid-wiesl-sh-02a,10.178.216.254,CN94FPC13K
2703,de-fid-wiesl-sh-03a,10.178.204.46,CN94FPC0MG
2704,de-fid-wiesl-sh-20s,10.178.151.146,CN8AHL30J7
2705,de-fid-wiesl-sh-34a,10.178.190.166,CN89FPB14Q
2710,de-fid-mannh-sh-17a,10.178.181.110,CN48FPC19T
2711,de-fid-mannh-sh-18a,10.178.191.214,CN44DRR38B
2712,de-fid-berch-sh-03a,10.51.204.94,CN27DRV02H
2720,de-fid-billi-sh-04a,10.178.174.78,CN89FPB05N
2721,de-fid-billi-sh-05a,10.178.168.110,CN88FPB19H
2722,de-fid-fahre-sh-01a,10.178.155.150,CN89FPB0X8
2723,de-fid-hassm-sh-01a,10.178.209.94,CN89FPB068
2738,de-fid-mosba-sh-01a,10.178.170.118,CN56DRW162
2740,de-fid-schef-sh-01c,10.178.146.78,CN80HL34VJ
2741,de-fid-schef-sh-01d,10.178.146.77,CN80HL34QW
2742,de-fid-schef-sh-02b,10.178.197.46,CN94FPB061
2744,de-fid-secka-sh-01a,10.178.169.222,CN94FPB03G
2747,de-fid-reisc-sh-01a,10.51.140.158,CN39FP63YQ
2748,de-fid-reisc-sh-01b,10.51.140.157,CN39FP66VK
2749,de-fid-reisc-sh-01c,10.51.140.156,CN7BFP30GR
2750,de-fid-reisc-sh-01d,10.51.140.155,CN7BFP30GP
2751,de-fid-reisc-sh-01e,10.51.140.154,CN83FPB243
2859,de-fid-tuess-sh-01a,10.51.144.254,CN69DRR2FB
2860,de-fid-tuess-sh-01b,10.51.144.253,CN69DRR0CR
2861,de-fid-tuess-sh-01c,10.51.144.252,CN69DRR055
2883,de-fid-geise-sh-13d,10.51.147.38,CN2ADRV08V
2884,de-fid-geise-sh-13f,10.51.147.37,CN2ADRV04N
2885,de-fid-geise-sh-13g,10.51.147.36,CN2ADRV047
2887,de-fid-lands-sh-20a,10.51.158.94,CN3ADRV07T
2892,de-fid-ahorn-sh-04b,10.178.215.142,CN8AFPB0VZ
3018,de-fid-ersha-sh-03a,10.51.186.198,CN4BFPC0Q5
3021,de-fid-gleic-sh-01a,10.51.199.150,CN94FPB07M
3023,de-fid-goett-sh-01a,10.51.179.126,CN94FPB0C8
3024,de-fid-gross-sh-19a,10.51.171.22,CN40FPB0QX
3035,de-fid-ringg-sh-01a,10.51.165.118,CN40FPB161
3042,de-fid-soode-sh-02a,10.51.168.38,CN40FPB0HH
3044,de-fid-treff-sh-01a,10.51.205.86,CN40FPB0T7
3045,de-fid-uders-sh-01a,10.51.163.14,CN92FPB050
3046,de-fid-waldk-sh-03a,10.51.185.14,CN40FPB097
3047,de-fid-wanfr-sh-01a,10.51.157.214,CN40FPB08V
3053,de-fid-worbi-sh-01a,10.51.190.62,CN94FPB05Q
3313,de-fid-ebels-sh-01a,10.51.194.174,CN7AFPC0VK
3314,de-fid-eltma-sh-01a,10.51.181.158,CN7AFPB68J
3322,de-fid-hassf-sh-02a,10.51.163.190,CN7AFPC0YH
3323,de-fid-hofhe-sh-01a,10.51.199.190,CN7AFPB688
3324,de-fid-knetz-sh-01a,10.51.201.190,CN7AFPB74N
3325,de-fid-obert-sh-03a,10.51.167.54,CN7AFPB6B7
3326,de-fid-tross-sh-01a,10.51.166.158,CN7AFPB3RC
3327,de-fid-unter-sh-06a,10.51.183.38,CN7AFPB70T
3328,de-fid-wonfu-sh-01a,10.51.159.118,CN7AFPB40F
3329,de-fid-zeila-sh-01a,10.51.190.30,CN7AFPB3N4
3396,FNH0003F,10.57.228.18,CN11FPC0YL
3397,FNH0004G,10.57.238.50,CN11FPC118
3398,FNH0006I,10.57.222.194,CN11FPC14P
3442,de-fid-alte4-sh-01d,10.51.145.5,CN78DRW0MG
3443,de-fid-alte4-sh-01e,10.51.145.4,CN78DRW0XQ
3444,de-fid-biebe-sh-01a,10.51.194.238,CN79DRW09C
3445,de-fid-biebe-sh-11b,10.51.197.150,CN79FPC02Y
3446,de-fid-biebe-sh-13b,10.51.181.6,CN7AFPB6G3
3447,de-fid-bruch-sh-21b,10.51.197.118,CN7AFPB13Q
3459,de-fid-buedi-sh-04b,10.51.163.198,CN71FPC18R
3460,de-fid-erlen-sh-01a,10.51.172.142,CN79DRW00L
3461,de-fid-floer-sh-07a,10.51.189.198,CN88FPC0LS
3462,de-fid-floer-sh-13b,10.51.185.158,CN7AFPB2ND
3463,de-fid-freig-sh-14a,10.51.165.254,CN88FPC05W
3464,de-fid-freig-sh-15b,10.51.205.174,CN7AFPB39L
3465,de-fid-freig-sh-16b,10.51.184.54,CN7AFPC0XZ
3466,de-fid-freig-sh-18b,10.51.146.166,CN30DRW0B3
3467,de-fid-freig-sh-18d,10.51.146.165,CN38DRW0MR
3468,de-fid-freig-sh-18e,10.51.146.164,CN7AFPB1D3
3469,de-fid-geder-sh-01a,10.51.147.166,CN26DRW0LZ
3470,de-fid-geder-sh-01b,10.51.147.165,CN78DRW0T8
3471,de-fid-geder-sh-02a,10.51.163.38,CN88FPC0LF
3472,de-fid-glaub-sh-01b,10.51.155.110,CN87FP32WY
3473,de-fid-grue2-sh-01b,10.51.176.174,CN7AFPB1JC
3474,de-fid-hamme-sh-28c,10.51.175.110,CN7AFPB1LV
3475,de-fid-jossg-sh-03b,10.51.178.54,CN7AFPB68C
3476,de-fid-lang5-sh-01e,10.51.141.205,CN78DRW0JM
3477,de-fid-lang5-sh-01f,10.51.141.204,CN78DRW0QC
3478,de-fid-lang5-sh-01g,10.51.141.203,CN94FPB007
3499,de-fid-linse-sh-01a,10.51.159.22,CN7AFPC0XB
3500,de-fid-maint-sh-10b,10.51.204.134,CN7AFPB1FG
3501,de-fid-neube-sh-01b,10.51.180.94,CN7AFPB3SM
3507,de-fid-nidda-sh-04b,10.51.199.86,CN7AFPB1W8
3508,de-fid-nidde-sh-07b,10.51.191.198,CN79FPB1R0
3509,de-fid-nidde-sh-08a,10.51.208.206,CN88FPC0X3
3510,de-fid-nidde-sh-09b,10.51.175.118,CN7AFPB16B
3511,de-fid-nidde-sh-10a,10.51.162.166,CN26DRW0P7
3512,de-fid-orte1-sh-01b,10.51.198.182,CN79DRW09D
3513,de-fid-ranst-sh-01b,10.51.200.134,CN87FP31FK
3514,de-fid-ranst-sh-03a,10.51.208.214,CN88FPC050
3515,de-fid-schot-sh-01b,10.51.181.110,CN60DRW0KJ
3516,de-fid-soden-sh-06b,10.51.158.62,CN8BFPB0T2
3517,de-fid-soden-sh-07b,10.51.202.110,CN60DRW0FJ
3518,de-fid-soden-sh-08b,10.51.162.70,CN79FPC05X
3519,de-fid-waech-sh-05a,10.51.200.54,CN88FPC0WH
3520,de-fid-waech-sh-06a,10.51.147.230,CN60DRW0L6
3521,de-fid-waech-sh-06b,10.51.147.229,CN60DRW05G
3614,de-fid-huet1-sh-01b,10.178.190.174,CN80FP73K0
3615,de-fid-arter-sh-02a,10.51.167.46,CN68FPB0D3
3617,de-fid-bleic-sh-02a,10.51.152.198,CN60FPB1NP
3618,de-fid-butts-sh-02a,10.51.159.14,CN68FPB0S1
3619,de-fid-ebele-sh-02b,10.51.143.62,CN89FPB0YD
3620,de-fid-greus-sh-03a,10.51.151.46,CN68FPB0PW
3621,de-fid-harzt-sh-02a,10.51.182.238,CN66FPB11K
3622,de-fid-heldr-sh-02a,10.51.175.54,CN60FPB1B7
3623,de-fid-herin-sh-02a,10.51.180.126,CN66FPB1N3
3624,de-fid-koell-sh-02b,10.51.155.166,CN89FPB191
3631,de-fid-nordh-sh-04a,10.51.187.150,CN66FPC09Z
3632,de-fid-rossl-sh-02a,10.51.196.190,CN68FPB0GC
3636,de-fid-weiss-sh-04a,10.51.199.94,CN68FPB0VM
3637,de-fid-wolkr-sh-02a,10.51.200.214,CN68FPB0SJ
3692,de-fid-baeum-sh-01b,10.51.151.222,CN59DRW05Q
3693,de-fid-baeum-sh-01c,10.51.151.221,CN58FPB25Z
3694,de-fid-berg2-sh-01a,10.51.199.6,CN59FPC12Q
3695,de-fid-buchd-sh-01a,10.51.203.214,CN47DRV2GC
3696,de-fid-buchd-sh-01b,10.51.203.213,CN58FPB2FN
3707,de-fid-dona1-sh-07a,10.51.181.206,CN58FPB233
3708,de-fid-dona1-sh-08a,10.51.194.78,CN58FPB27J
3709,de-fid-dona1-sh-10a,10.51.170.22,CN47DRV2GS
3714,de-fid-donau-sh-02c,10.51.186.38,CN93FP312L
3715,de-fid-donau-sh-05b,10.51.196.86,CN86DRW04D
3716,de-fid-fuenf-sh-03a,10.51.178.198,CN57FPB1YC
3717,de-fid-harbu-sh-01b,10.51.147.238,CN47DRW06Q
3718,de-fid-harbu-sh-01c,10.51.147.237,CN61FPB0M9
3719,de-fid-harbu-sh-12a,10.51.195.78,CN58FPB22M
3720,de-fid-hoec1-sh-02c,10.51.155.118,CN59DRW03W
3721,de-fid-hoec1-sh-02d,10.51.155.117,CN58FPB0TL
3722,de-fid-huish-sh-01a,10.51.156.246,CN46FP73NN
3723,de-fid-huish-sh-01b,10.51.156.245,CN63FPC0DR
3724,de-fid-kaish-sh-03a,10.51.162.182,CN57FPB2PT
3725,de-fid-merti-sh-01b,10.51.203.182,CN59DRW061
3726,de-fid-moedi-sh-01a,10.51.209.38,CN59FPC15R
3727,de-fid-moers-sh-04a,10.51.196.206,CN47DRV23S
3728,de-fid-monhe-sh-02c,10.51.150.6,CN59DRW0HH
3729,de-fid-monhe-sh-02d,10.51.150.5,CN58FPB18P
3730,de-fid-ober6-sh-01a,10.51.160.30,CN47DRV0Z2
3731,de-fid-rain0-sh-04a,10.51.198.174,CN47DRV1YC
3732,de-fid-schwe-sh-05a,10.51.151.220,CN45DRV0CD
3733,de-fid-tagme-sh-01a,10.51.169.70,CN46FP61NF
3734,de-fid-tapfh-sh-01b,10.51.198.6,CN59DRW07G
3735,de-fid-tapfh-sh-05a,10.51.174.94,CN59FPC1L4
3736,de-fid-witti-sh-05c,10.51.175.206,CN93FP30TB
3742,de-fid-deide-sh-01c,10.178.145.238,CN92FPB0G2
3743,de-fid-deide-sh-01d,10.178.145.237,CN92FPB0D5
3744,de-fid-deide-sh-01e,10.178.145.236,CN8BFPB0C5
3745,de-fid-eller-sh-01b,10.178.151.70,CN92FPB032
3746,de-fid-eller-sh-01c,10.178.151.69,CN92FPB04F
3747,de-fid-goenn-sh-02b,10.176.36.197,CN93FP70Y4
3748,de-fid-neust-sh-04d,10.178.142.206,CN92FPB0CW
3749,de-fid-neust-sh-04e,10.178.142.205,CN8BFPB02H
3750,de-fid-neust-sh-04f,10.178.142.204,CN92FPB0FY
3751,de-fid-niede-sh-36c,10.178.149.46,CN8BFPB10B
3752,de-fid-niede-sh-36d,10.178.149.45,CN92FPB01Y
3753,de-fid-wache-sh-01d,10.178.142.14,CN8BFPB0HJ
3754,de-fid-wache-sh-01e,10.178.142.13,CN8BFPB0J6
3755,de-fid-wache-sh-01f,10.178.142.12,CN8BFPB0M1
3756,de-fid-wache-sh-01g,10.178.142.11,CN8BFPB0DG
3757,de-fid-weise-sh-02b,10.178.150.230,CN8AFPB0S8
3758,de-fid-weise-sh-02c,10.178.150.229,CN92FPB05C
3792,de-fid-beche-sh-02b,10.178.208.222,CN7AFPB40J
3793,de-fid-laut1-sh-01e,10.178.151.54,CN79DRW02S
3794,de-fid-laut1-sh-01f,10.178.151.53,CN79DRW08N
3795,de-fid-laut1-sh-01g,10.178.151.52,CN7AFPB72N
3796,de-fid-odenb-sh-02b,10.178.209.166,CN7AFPB6Y1
3797,de-fid-offen-sh-18b,10.178.171.22,CN7BFPB0G4
3798,de-fid-olsbr-sh-02b,10.178.214.78,CN7AFPB3QV
3799,de-fid-otter-sh-03b,10.178.165.54,CN7BFPB0VK
3800,de-fid-otter-sh-03c,10.178.165.53,CN88FPB0M5
3801,de-fid-stjul-sh-01b,10.178.187.38,CN7AFPB753
3802,de-fid-wolfs-sh-01b,10.178.180.22,CN7AFPB66G
3803,de-fid-alten-sh-01a,10.178.173.198,CN39DRR40H
3804,de-fid-bruch-sh-01a,10.178.212.14,CN3BDRR10H
3805,de-fid-glanm-sh-01a,10.178.144.110,CN46FP6299
3806,de-fid-glanm-sh-01b,10.178.144.109,CN44DRV0C6
3807,de-fid-glanm-sh-01c,10.178.144.108,CN44DRV02Z
3808,de-fid-glanm-sh-01d,10.178.144.107,CN44DRV067
3809,de-fid-glanm-sh-01e,10.178.144.106,CN86DRW00T
3810,de-fid-hersc-sh-01a,10.178.217.54,CN43DRR25F
3811,de-fid-nanzd-sh-01a,10.178.201.78,CN43DRR2DP
3812,de-fid-niede-sh-01a,10.178.175.174,CN43DRR2D7
3813,de-fid-ramst-sh-01a,10.178.153.86,CN43DRR29X
3814,de-fid-ramst-sh-01b,10.178.153.85,CN7AFPB16V
3815,de-fid-ramst-sh-01c,10.178.153.84,CN7AFPB1PB
3816,de-fid-schoen-sh-01a,10.178.200.214,CN43DRR2PC
3817,de-fid-stei1-sh-01a,10.178.179.206,CN44DRR2FD
3819,de-fid-boben-sh-01c,10.178.158.70,CN60DRR020
3820,de-fid-boben-sh-01d,10.178.158.69,CN89FPB0X2
3821,de-fid-bocke-sh-03a,10.178.192.198,CN51FPB1RB
3822,de-fid-dirms-sh-03b,10.178.194.198,CN58FPB24J
3823,de-fid-eisen-sh-11b,10.178.154.38,CN57FPB1VQ
3824,de-fid-eisen-sh-11c,10.178.154.37,CN6BDRR161
3825,de-fid-fran1-sh-13b,10.178.192.94,CN58FPB285
3826,de-fid-fran1-sh-14b,10.178.168.190,CN58FPB1QP
3827,de-fid-fran1-sh-14c,10.178.168.189,CN6ADRR0FC
3828,de-fid-frank-sh-40b,10.178.167.126,CN57FPB1SY
3829,de-fid-frank-sh-40c,10.178.167.125,CN60DRR0BW
3832,de-fid-grue1-sh-04f,10.178.152.110,CN6BFPB0PF
3833,de-fid-grue1-sh-04g,10.178.152.109,CN6ADRV04G
3834,de-fid-grue1-sh-04h,10.178.152.108,CN6ADRV02S
3837,de-fid-hessh-sh-02c,10.178.168.54,CN6ADRR0D4
3838,de-fid-hessh-sh-02d,10.178.168.53,CN89FPB0WQ
3839,de-fid-kalls-sh-02b,10.178.206.78,CN58FPB1XV
3840,de-fid-kirch-sh-05a,10.178.182.78,CN57FPB1TF
3845,de-fid-maxdo-sh-03c,10.178.157.22,CN60DRR04F
3846,de-fid-maxdo-sh-03d,10.178.157.21,CN89FPB127
3849,de-fid-weise-sh-04d,10.178.156.246,CN59DRW01H
3922,de-fid-affin-sh-01b,10.51.202.22,CN60DRW0J4
3923,de-fid-aicha-sh-02b,10.51.154.6,CN60DRW02N
3924,de-fid-aicha-sh-02c,10.51.154.5,CN6BDRR0VX
3939,de-fid-augsb-sh-03b,10.51.152.110,CN60DRW0FN
3940,de-fid-augsb-sh-03c,10.51.152.109,CN69DRR23T
3941,de-fid-augsb-sh-14b,10.51.149.126,CN60DRW0FR
3942,de-fid-augsb-sh-14c,10.51.149.125,CN69DRR26R
3943,de-fid-augsb-sh-15c,10.51.206.190,CN60DRW08W
3944,de-fid-augsb-sh-16b,10.51.151.254,CN60DRW05H
3945,de-fid-augsb-sh-16c,10.51.151.253,CN6BDRR15N
3946,de-fid-augsb-sh-17b,10.51.189.46,CN60DRW0HB
3947,de-fid-augsb-sh-18b,10.51.177.54,CN60DRW0GT
3948,de-fid-augsb-sh-20c,10.51.152.69,CN60DRW02V
3949,de-fid-bobin-sh-07c,10.51.201.222,CN60DRW060
3950,de-fid-fried-sh-33b,10.51.202.246,CN60DRW0M5
3951,de-fid-fried-sh-74c,10.51.166.190,CN60DRW0LL
3952,de-fid-gerst-sh-11b,10.51.162.150,CN60DRW073
3953,de-fid-koeni-sh-16b,10.51.150.222,CN60DRW00Q
3954,de-fid-koeni-sh-16c,10.51.150.221,CN60DRW08M
3955,de-fid-kuehb-sh-01b,10.51.202.86,CN60DRW06W
3956,de-fid-muehl-sh-40b,10.51.161.206,CN60DRW01N
3957,de-fid-neusa-sh-03b,10.51.190.102,CN60DRW0D8
3958,de-fid-stadt-sh-17b,10.51.185.102,CN60DRW03L
4081,de-fid-affol-sh-01b,10.51.188.182,CN6ADRR06X
4082,de-fid-gorxh-sh-03c,10.51.183.165,CN8AFPB0Z8
4083,de-fid-grase-sh-02b,10.51.185.246,CN6ADRR0FG
4155,de-fid-hambu-sh-10a,10.51.198.94,CN46DRR1NY
4213,de-fid-nuern-sh-39a,10.51.146.174,CN40FP61JZ
4214,de-fid-nuern-sh-39b,10.51.146.173,CN40FP615H
4215,de-fid-nuern-sh-39c,10.51.146.172,CN57FP72L0
4217,de-fid-brei3-sh-01b,10.51.198.14,CN60DRR05C
4218,de-fid-wegsc-sh-02b,10.51.155.214,CN57DRV1WM
4219,de-fid-wegsc-sh-02c,10.51.155.213,CN69DRV09N
4220,de-fid-wegsc-sh-02d,10.51.155.212,CN0AFPB07Y
4221,de-fid-buech-sh-02a,10.51.173.22,CN60DRR04S
4222,de-fid-fuers-sh-01a,10.51.183.126,CN69DRR256
4223,de-fid-hackl-sh-01a,10.51.197.166,CN60DRR00H
4227,de-fid-hutth-sh-01a,10.51.179.86,CN60DRR0T3
4228,de-fid-hutth-sh-03f,10.51.139.110,CN91FP323P
4229,de-fid-hutth-sh-03g,10.51.139.106,CN9BFP70BF
4230,de-fid-hutth-sh-03h,10.51.139.105,CN90FP36BH
4231,de-fid-hutth-sh-03i,10.51.139.104,CN05FP303B
4232,de-fid-neuki-sh-01a,10.51.161.62,CN69DRR227
4233,de-fid-ruder-sh-01a,10.51.160.198,CN69DRR21Y
4234,de-fid-thurm-sh-01a,10.51.171.238,CN60DRR0LJ
4235,de-fid-tiefe-sh-01a,10.51.145.158,CN60DRR0XJ
4236,de-fid-tiefe-sh-01b,10.51.145.157,CN69DRV09C
4237,de-fid-tiefe-sh-01c,10.51.145.156,CN68DRV088
4238,de-fid-tittl-sh-01a,10.51.197.14,CN69DRV05M
4239,de-fid-tittl-sh-02a,10.51.169.142,CN69DRV03D
4240,de-fid-himme-sh-06a,10.51.176.198,CN7BFP72NS
4241,de-fid-kasen-sh-01a,10.51.162.254,CN7BFP730P
4254,de-fid-kulmb-sh-05a,10.51.196.110,CN7BFP72WC
4255,de-fid-kulmb-sh-09b,10.51.161.46,CN85FP72T8
4256,de-fid-kulmb-sh-10a,10.51.186.246,CN7BFP734D
4257,de-fid-ludw0-sh-02b,10.51.193.14,CN85FP722R
4258,de-fid-mainl-sh-04a,10.51.167.62,CN7BFP72Z2
4259,de-fid-markt-sh-05b,10.51.189.38,CN85FP72C5
4260,de-fid-neuen-sh-31a,10.51.199.22,CN7BFP72XG
4261,de-fid-press-sh-02b,10.51.172.86,CN85FP71BK
4262,de-fid-rugen-sh-01a,10.51.157.158,CN85FP719H
